"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 19 15:35:44 CST 2024","Tue Nov 19 15:35:44 CST 2024","120","Default Suite","mall","com.mycompany.mall.api.LoginTest","com.mycompany.mall.api.LoginTest","testLoginSuccess","testLoginSuccess","测试用户名、密码均正确，登录成功"
"passed","Tue Nov 19 15:35:43 CST 2024","Tue Nov 19 15:35:44 CST 2024","211","Default Suite","mall","com.mycompany.mall.api.LoginTest","com.mycompany.mall.api.LoginTest","testLoginFailure","testLoginFailure",""
